"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,140,73375,0.00190800681431005
"2","Alberta","DivisionNo.10",4810,120,85155,0.00140919499735776
"3","Alberta","DivisionNo.11",4811,13095,1065370,0.0122915043599876
"4","Alberta","DivisionNo.12",4812,110,59305,0.00185481831211534
"5","Alberta","DivisionNo.13",4813,40,66150,0.000604686318972033
"6","Alberta","DivisionNo.14",4814,50,27725,0.0018034265103697
"7","Alberta","DivisionNo.15",4815,195,33940,0.00574543311726576
"8","Alberta","DivisionNo.16",4816,740,52995,0.01396358146995
"9","Alberta","DivisionNo.17",4817,40,58960,0.00067842605156038
"10","Alberta","DivisionNo.18",4818,90,14150,0.00636042402826855
"11","Alberta","DivisionNo.19",4819,240,97885,0.00245185677070031
"12","Alberta","DivisionNo.2",4802,1360,140620,0.00967145498506614
"13","Alberta","DivisionNo.3",4803,75,37280,0.0020118025751073
"14","Alberta","DivisionNo.4",4804,15,10365,0.00144717800289436
"15","Alberta","DivisionNo.5",4805,120,49770,0.00241109101868596
"16","Alberta","DivisionNo.6",4806,18200,1151420,0.0158065692796721
"17","Alberta","DivisionNo.7",4807,70,39375,0.00177777777777778
"18","Alberta","DivisionNo.8",4808,750,172340,0.0043518625971916
"19","Alberta","DivisionNo.9",4809,55,20175,0.00272614622057001
