"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,645,73375,0.00879045996592845
"2","Alberta","DivisionNo.10",4810,730,85155,0.00857260290059304
"3","Alberta","DivisionNo.11",4811,84270,1065370,0.0790992800623258
"4","Alberta","DivisionNo.12",4812,490,59305,0.00826237248124104
"5","Alberta","DivisionNo.13",4813,340,66150,0.00513983371126228
"6","Alberta","DivisionNo.14",4814,285,27725,0.0102795311091073
"7","Alberta","DivisionNo.15",4815,900,33940,0.0265173836181497
"8","Alberta","DivisionNo.16",4816,2465,52995,0.0465138220586848
"9","Alberta","DivisionNo.17",4817,460,58960,0.00780189959294437
"10","Alberta","DivisionNo.18",4818,155,14150,0.0109540636042403
"11","Alberta","DivisionNo.19",4819,1325,97885,0.0135362925882413
"12","Alberta","DivisionNo.2",4802,2285,140620,0.016249466647703
"13","Alberta","DivisionNo.3",4803,200,37280,0.00536480686695279
"14","Alberta","DivisionNo.4",4804,80,10365,0.00771828268210323
"15","Alberta","DivisionNo.5",4805,340,49770,0.00683142455294354
"16","Alberta","DivisionNo.6",4806,127475,1151420,0.110711121919022
"17","Alberta","DivisionNo.7",4807,400,39375,0.0101587301587302
"18","Alberta","DivisionNo.8",4808,2515,172340,0.0145932459092492
"19","Alberta","DivisionNo.9",4809,60,20175,0.00297397769516729
