"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,41235,73375,0.561976149914821
"2","Alberta","DivisionNo.10",4810,50900,85155,0.597733544712583
"3","Alberta","DivisionNo.11",4811,606175,1065370,0.568980729699541
"4","Alberta","DivisionNo.12",4812,41310,59305,0.696568586122587
"5","Alberta","DivisionNo.13",4813,47560,66150,0.718972033257748
"6","Alberta","DivisionNo.14",4814,16810,27725,0.606311992786294
"7","Alberta","DivisionNo.15",4815,15115,33940,0.445344725987036
"8","Alberta","DivisionNo.16",4816,20205,52995,0.381262383243702
"9","Alberta","DivisionNo.17",4817,46240,58960,0.784260515603799
"10","Alberta","DivisionNo.18",4818,8970,14150,0.633922261484099
"11","Alberta","DivisionNo.19",4819,61595,97885,0.629258824130357
"12","Alberta","DivisionNo.2",4802,88530,140620,0.629569051344048
"13","Alberta","DivisionNo.3",4803,28145,37280,0.754962446351931
"14","Alberta","DivisionNo.4",4804,8050,10365,0.776652194886638
"15","Alberta","DivisionNo.5",4805,34570,49770,0.694595137633112
"16","Alberta","DivisionNo.6",4806,519010,1151420,0.450756457244099
"17","Alberta","DivisionNo.7",4807,28605,39375,0.72647619047619
"18","Alberta","DivisionNo.8",4808,107655,172340,0.624666357200882
"19","Alberta","DivisionNo.9",4809,14540,20175,0.720693928128872
