"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,25830,73375,0.352027257240204
"2","Alberta","DivisionNo.10",4810,29615,85155,0.34777758205625
"3","Alberta","DivisionNo.11",4811,258365,1065370,0.242511991139229
"4","Alberta","DivisionNo.12",4812,15505,59305,0.261445072084984
"5","Alberta","DivisionNo.13",4813,14630,66150,0.221164021164021
"6","Alberta","DivisionNo.14",4814,9100,27725,0.328223624887286
"7","Alberta","DivisionNo.15",4815,13525,33940,0.398497348261638
"8","Alberta","DivisionNo.16",4816,26270,52995,0.495707142183225
"9","Alberta","DivisionNo.17",4817,10075,58960,0.170878561736771
"10","Alberta","DivisionNo.18",4818,4295,14150,0.303533568904594
"11","Alberta","DivisionNo.19",4819,30590,97885,0.312509577565511
"12","Alberta","DivisionNo.2",4802,34245,140620,0.243528658796757
"13","Alberta","DivisionNo.3",4803,6465,37280,0.173417381974249
"14","Alberta","DivisionNo.4",4804,1960,10365,0.189097925711529
"15","Alberta","DivisionNo.5",4805,11810,49770,0.237291541089009
"16","Alberta","DivisionNo.6",4806,360295,1151420,0.312913619704365
"17","Alberta","DivisionNo.7",4807,8965,39375,0.22768253968254
"18","Alberta","DivisionNo.8",4808,51050,172340,0.296216780782175
"19","Alberta","DivisionNo.9",4809,4415,20175,0.218835192069393
