"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,845,73375,0.0115161839863714
"2","Alberta","DivisionNo.10",4810,655,85155,0.00769185602724444
"3","Alberta","DivisionNo.11",4811,3640,1065370,0.003416653369252
"4","Alberta","DivisionNo.12",4812,20,59305,0.000337239693111879
"5","Alberta","DivisionNo.13",4813,60,66150,0.00090702947845805
"6","Alberta","DivisionNo.14",4814,45,27725,0.00162308385933273
"7","Alberta","DivisionNo.15",4815,45,33940,0.00132586918090748
"8","Alberta","DivisionNo.16",4816,150,52995,0.00283045570336824
"9","Alberta","DivisionNo.17",4817,230,58960,0.00390094979647218
"10","Alberta","DivisionNo.18",4818,20,14150,0.00141342756183746
"11","Alberta","DivisionNo.19",4819,230,97885,0.00234969607192113
"12","Alberta","DivisionNo.2",4802,2735,140620,0.0194495804295264
"13","Alberta","DivisionNo.3",4803,155,37280,0.00415772532188841
"14","Alberta","DivisionNo.4",4804,0,10365,0
"15","Alberta","DivisionNo.5",4805,175,49770,0.00351617440225035
"16","Alberta","DivisionNo.6",4806,5585,1151420,0.00485053238609717
"17","Alberta","DivisionNo.7",4807,25,39375,0.000634920634920635
"18","Alberta","DivisionNo.8",4808,535,172340,0.00310432865266334
"19","Alberta","DivisionNo.9",4809,0,20175,0
