"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,190,73375,0.00258943781942078
"2","Alberta","DivisionNo.10",4810,110,85155,0.00129176208091128
"3","Alberta","DivisionNo.11",4811,14670,1065370,0.013769863990914
"4","Alberta","DivisionNo.12",4812,105,59305,0.00177050838883737
"5","Alberta","DivisionNo.13",4813,55,66150,0.000831443688586546
"6","Alberta","DivisionNo.14",4814,90,27725,0.00324616771866546
"7","Alberta","DivisionNo.15",4815,35,33940,0.00103123158515027
"8","Alberta","DivisionNo.16",4816,190,52995,0.00358524389093311
"9","Alberta","DivisionNo.17",4817,65,58960,0.00110244233378562
"10","Alberta","DivisionNo.18",4818,20,14150,0.00141342756183746
"11","Alberta","DivisionNo.19",4819,235,97885,0.00240077642131072
"12","Alberta","DivisionNo.2",4802,415,140620,0.00295121604323709
"13","Alberta","DivisionNo.3",4803,80,37280,0.00214592274678112
"14","Alberta","DivisionNo.4",4804,10,10365,0.000964785335262904
"15","Alberta","DivisionNo.5",4805,45,49770,0.000904159132007233
"16","Alberta","DivisionNo.6",4806,24780,1151420,0.0215212520192458
"17","Alberta","DivisionNo.7",4807,90,39375,0.00228571428571429
"18","Alberta","DivisionNo.8",4808,300,172340,0.00174074503887664
"19","Alberta","DivisionNo.9",4809,10,20175,0.000495662949194548
