"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,3535,73375,0.0481771720613288
"2","Alberta","DivisionNo.10",4810,2385,85155,0.0280077505724855
"3","Alberta","DivisionNo.11",4811,69515,1065370,0.0652496315833936
"4","Alberta","DivisionNo.12",4812,1220,59305,0.0205716212798246
"5","Alberta","DivisionNo.13",4813,2645,66150,0.0399848828420257
"6","Alberta","DivisionNo.14",4814,1065,27725,0.0384129846708747
"7","Alberta","DivisionNo.15",4815,2600,33940,0.0766057748968768
"8","Alberta","DivisionNo.16",4816,1620,52995,0.030568921596377
"9","Alberta","DivisionNo.17",4817,770,58960,0.0130597014925373
"10","Alberta","DivisionNo.18",4818,485,14150,0.0342756183745583
"11","Alberta","DivisionNo.19",4819,2505,97885,0.0255912550441845
"12","Alberta","DivisionNo.2",4802,8140,140620,0.0578865026312047
"13","Alberta","DivisionNo.3",4803,1515,37280,0.0406384120171674
"14","Alberta","DivisionNo.4",4804,160,10365,0.0154365653642065
"15","Alberta","DivisionNo.5",4805,1610,49770,0.0323488045007032
"16","Alberta","DivisionNo.6",4806,79840,1151420,0.0693404665543416
"17","Alberta","DivisionNo.7",4807,835,39375,0.0212063492063492
"18","Alberta","DivisionNo.8",4808,6485,172340,0.03762910525705
"19","Alberta","DivisionNo.9",4809,755,20175,0.0374225526641884
