"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,50,73375,0.000681431005110733
"2","Alberta","DivisionNo.10",4810,25,85155,0.0002935822911162
"3","Alberta","DivisionNo.11",4811,6760,1065370,0.00634521340003942
"4","Alberta","DivisionNo.12",4812,15,59305,0.000252929769833909
"5","Alberta","DivisionNo.13",4813,30,66150,0.000453514739229025
"6","Alberta","DivisionNo.14",4814,10,27725,0.00036068530207394
"7","Alberta","DivisionNo.15",4815,20,33940,0.000589275191514437
"8","Alberta","DivisionNo.16",4816,45,52995,0.000849136711010473
"9","Alberta","DivisionNo.17",4817,15,58960,0.000254409769335142
"10","Alberta","DivisionNo.18",4818,0,14150,0
"11","Alberta","DivisionNo.19",4819,45,97885,0.000459723144506308
"12","Alberta","DivisionNo.2",4802,65,140620,0.000462238657374484
"13","Alberta","DivisionNo.3",4803,30,37280,0.000804721030042918
"14","Alberta","DivisionNo.4",4804,0,10365,0
"15","Alberta","DivisionNo.5",4805,0,49770,0
"16","Alberta","DivisionNo.6",4806,10225,1151420,0.00888033905959598
"17","Alberta","DivisionNo.7",4807,20,39375,0.000507936507936508
"18","Alberta","DivisionNo.8",4808,95,172340,0.000551235928977602
"19","Alberta","DivisionNo.9",4809,10,20175,0.000495662949194548
