"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,5855,73375,0.0797955706984668
"2","Alberta","DivisionNo.10",4810,4480,85155,0.052609946568023
"3","Alberta","DivisionNo.11",4811,191900,1065370,0.180125214714137
"4","Alberta","DivisionNo.12",4812,2375,59305,0.0400472135570357
"5","Alberta","DivisionNo.13",4813,3740,66150,0.0565381708238851
"6","Alberta","DivisionNo.14",4814,1740,27725,0.0627592425608656
"7","Alberta","DivisionNo.15",4815,4225,33940,0.124484384207425
"8","Alberta","DivisionNo.16",4816,5785,52995,0.109161241626569
"9","Alberta","DivisionNo.17",4817,2460,58960,0.0417232021709634
"10","Alberta","DivisionNo.18",4818,855,14150,0.0604240282685512
"11","Alberta","DivisionNo.19",4819,5305,97885,0.0541962507023548
"12","Alberta","DivisionNo.2",4802,17000,140620,0.120893187313327
"13","Alberta","DivisionNo.3",4803,2615,37280,0.0701448497854077
"14","Alberta","DivisionNo.4",4804,330,10365,0.0318379160636758
"15","Alberta","DivisionNo.5",4805,3000,49770,0.0602772754671489
"16","Alberta","DivisionNo.6",4806,259855,1151420,0.225682201108197
"17","Alberta","DivisionNo.7",4807,1590,39375,0.0403809523809524
"18","Alberta","DivisionNo.8",4808,12800,172340,0.0742717883254033
"19","Alberta","DivisionNo.9",4809,1120,20175,0.0555142503097893
