"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,50,73375,0.000681431005110733
"2","Alberta","DivisionNo.10",4810,140,85155,0.00164406083025072
"3","Alberta","DivisionNo.11",4811,15020,1065370,0.014098388353342
"4","Alberta","DivisionNo.12",4812,25,59305,0.000421549616389849
"5","Alberta","DivisionNo.13",4813,30,66150,0.000453514739229025
"6","Alberta","DivisionNo.14",4814,0,27725,0
"7","Alberta","DivisionNo.15",4815,55,33940,0.0016205067766647
"8","Alberta","DivisionNo.16",4816,670,52995,0.0126427021417115
"9","Alberta","DivisionNo.17",4817,30,58960,0.000508819538670285
"10","Alberta","DivisionNo.18",4818,20,14150,0.00141342756183746
"11","Alberta","DivisionNo.19",4819,350,97885,0.00357562445727129
"12","Alberta","DivisionNo.2",4802,190,140620,0.00135115915232542
"13","Alberta","DivisionNo.3",4803,15,37280,0.000402360515021459
"14","Alberta","DivisionNo.4",4804,15,10365,0.00144717800289436
"15","Alberta","DivisionNo.5",4805,25,49770,0.000502310628892907
"16","Alberta","DivisionNo.6",4806,21650,1151420,0.0188028695002692
"17","Alberta","DivisionNo.7",4807,10,39375,0.000253968253968254
"18","Alberta","DivisionNo.8",4808,305,172340,0.00176975745619125
"19","Alberta","DivisionNo.9",4809,0,20175,0
