"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,67065,73375,0.914003407155026
"2","Alberta","DivisionNo.10",4810,80520,85155,0.945569843227057
"3","Alberta","DivisionNo.11",4811,864540,1065370,0.81149272083877
"4","Alberta","DivisionNo.12",4812,56815,59305,0.958013658207571
"5","Alberta","DivisionNo.13",4813,62185,66150,0.940060468631897
"6","Alberta","DivisionNo.14",4814,25905,27725,0.934355275022543
"7","Alberta","DivisionNo.15",4815,28640,33940,0.843842074248674
"8","Alberta","DivisionNo.16",4816,46475,52995,0.876969525426927
"9","Alberta","DivisionNo.17",4817,56315,58960,0.95513907734057
"10","Alberta","DivisionNo.18",4818,13260,14150,0.937102473498233
"11","Alberta","DivisionNo.19",4819,92190,97885,0.941819482045257
"12","Alberta","DivisionNo.2",4802,122770,140620,0.873062153321007
"13","Alberta","DivisionNo.3",4803,34615,37280,0.928513948497854
"14","Alberta","DivisionNo.4",4804,10010,10365,0.965750120598167
"15","Alberta","DivisionNo.5",4805,46375,49770,0.931786216596343
"16","Alberta","DivisionNo.6",4806,879305,1151420,0.763670076948464
"17","Alberta","DivisionNo.7",4807,37570,39375,0.95415873015873
"18","Alberta","DivisionNo.8",4808,158710,172340,0.920912150400371
"19","Alberta","DivisionNo.9",4809,18955,20175,0.939529120198265
