"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,65,73375,0.000885860306643952
"2","Alberta","DivisionNo.10",4810,40,85155,0.00046973166578592
"3","Alberta","DivisionNo.11",4811,3875,1065370,0.00363723401259656
"4","Alberta","DivisionNo.12",4812,30,59305,0.000505859539667819
"5","Alberta","DivisionNo.13",4813,30,66150,0.000453514739229025
"6","Alberta","DivisionNo.14",4814,30,27725,0.00108205590622182
"7","Alberta","DivisionNo.15",4815,120,33940,0.00353565114908662
"8","Alberta","DivisionNo.16",4816,50,52995,0.000943485234456081
"9","Alberta","DivisionNo.17",4817,10,58960,0.000169606512890095
"10","Alberta","DivisionNo.18",4818,20,14150,0.00141342756183746
"11","Alberta","DivisionNo.19",4819,110,97885,0.00112376768657098
"12","Alberta","DivisionNo.2",4802,255,140620,0.0018133978096999
"13","Alberta","DivisionNo.3",4803,35,37280,0.000938841201716738
"14","Alberta","DivisionNo.4",4804,25,10365,0.00241196333815726
"15","Alberta","DivisionNo.5",4805,55,49770,0.0011050833835644
"16","Alberta","DivisionNo.6",4806,3620,1151420,0.00314394399958312
"17","Alberta","DivisionNo.7",4807,40,39375,0.00101587301587302
"18","Alberta","DivisionNo.8",4808,160,172340,0.000928397354067541
"19","Alberta","DivisionNo.9",4809,10,20175,0.000495662949194548
