"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,160,73375,0.00218057921635434
"2","Alberta","DivisionNo.10",4810,45,85155,0.00052844812400916
"3","Alberta","DivisionNo.11",4811,5410,1065370,0.00507804800210256
"4","Alberta","DivisionNo.12",4812,55,59305,0.000927409156057668
"5","Alberta","DivisionNo.13",4813,95,66150,0.00143613000755858
"6","Alberta","DivisionNo.14",4814,40,27725,0.00144274120829576
"7","Alberta","DivisionNo.15",4815,30,33940,0.000883912787271656
"8","Alberta","DivisionNo.16",4816,410,52995,0.00773657892253986
"9","Alberta","DivisionNo.17",4817,680,58960,0.0115332428765265
"10","Alberta","DivisionNo.18",4818,25,14150,0.00176678445229682
"11","Alberta","DivisionNo.19",4819,120,97885,0.00122592838535016
"12","Alberta","DivisionNo.2",4802,320,140620,0.00227563646707438
"13","Alberta","DivisionNo.3",4803,35,37280,0.000938841201716738
"14","Alberta","DivisionNo.4",4804,0,10365,0
"15","Alberta","DivisionNo.5",4805,90,49770,0.00180831826401447
"16","Alberta","DivisionNo.6",4806,7765,1151420,0.00674384672838756
"17","Alberta","DivisionNo.7",4807,10,39375,0.000253968253968254
"18","Alberta","DivisionNo.8",4808,735,172340,0.00426482534524777
"19","Alberta","DivisionNo.9",4809,0,20175,0
