"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,1460,73375,0.0198977853492334
"2","Alberta","DivisionNo.10",4810,765,85155,0.00898361810815572
"3","Alberta","DivisionNo.11",4811,19110,1065370,0.017937430188573
"4","Alberta","DivisionNo.12",4812,400,59305,0.00674479386223758
"5","Alberta","DivisionNo.13",4813,625,66150,0.00944822373393802
"6","Alberta","DivisionNo.14",4814,340,27725,0.012263300270514
"7","Alberta","DivisionNo.15",4815,1135,33940,0.0334413671184443
"8","Alberta","DivisionNo.16",4816,790,52995,0.0149070667044061
"9","Alberta","DivisionNo.17",4817,190,58960,0.0032225237449118
"10","Alberta","DivisionNo.18",4818,245,14150,0.0173144876325088
"11","Alberta","DivisionNo.19",4819,775,97885,0.00791745415538642
"12","Alberta","DivisionNo.2",4802,2015,140620,0.014329398378609
"13","Alberta","DivisionNo.3",4803,560,37280,0.0150214592274678
"14","Alberta","DivisionNo.4",4804,60,10365,0.00578871201157742
"15","Alberta","DivisionNo.5",4805,680,49770,0.0136628491058871
"16","Alberta","DivisionNo.6",4806,28250,1151420,0.0245349220961943
"17","Alberta","DivisionNo.7",4807,360,39375,0.00914285714285714
"18","Alberta","DivisionNo.8",4808,2225,172340,0.0129105257050017
"19","Alberta","DivisionNo.9",4809,220,20175,0.01090458488228
