"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Alberta","DivisionNo.1",4801,425,73375,0.00579216354344123
"2","Alberta","DivisionNo.10",4810,485,85155,0.00569549644765428
"3","Alberta","DivisionNo.11",4811,7715,1065370,0.00724161558895032
"4","Alberta","DivisionNo.12",4812,415,59305,0.00699772363207149
"5","Alberta","DivisionNo.13",4813,480,66150,0.0072562358276644
"6","Alberta","DivisionNo.14",4814,215,27725,0.00775473399458972
"7","Alberta","DivisionNo.15",4815,300,33940,0.00883912787271656
"8","Alberta","DivisionNo.16",4816,215,52995,0.00405698650816115
"9","Alberta","DivisionNo.17",4817,260,58960,0.00440976933514247
"10","Alberta","DivisionNo.18",4818,60,14150,0.00424028268551237
"11","Alberta","DivisionNo.19",4819,735,97885,0.0075088113602697
"12","Alberta","DivisionNo.2",4802,1820,140620,0.0129426824064856
"13","Alberta","DivisionNo.3",4803,575,37280,0.0154238197424893
"14","Alberta","DivisionNo.4",4804,45,10365,0.00434153400868307
"15","Alberta","DivisionNo.5",4805,570,49770,0.0114526823387583
"16","Alberta","DivisionNo.6",4806,12130,1151420,0.0105348178770562
"17","Alberta","DivisionNo.7",4807,200,39375,0.00507936507936508
"18","Alberta","DivisionNo.8",4808,1475,172340,0.00855866310781014
"19","Alberta","DivisionNo.9",4809,205,20175,0.0101610904584882
