"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,40,30435,0.00131427632659767
"2","British Columbia","Bulkley-Nechako",5951,65,38125,0.00170491803278689
"3","British Columbia","Capital",5917,2310,340055,0.00679301877637441
"4","British Columbia","Cariboo",5941,140,61790,0.0022657387926849
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,150,55285,0.00271321334900968
"7","British Columbia","CentralOkanagan",5935,540,160560,0.00336322869955157
"8","British Columbia","Columbia-Shuswap",5939,135,49505,0.00272699727300273
"9","British Columbia","CowichanValley",5919,190,76475,0.00248447204968944
"10","British Columbia","EastKootenay",5901,75,54885,0.00136649357748019
"11","British Columbia","Fraser-FortGeorge",5953,185,91630,0.0020189894139474
"12","British Columbia","FraserValley",5909,1165,253845,0.0045894148003703
"13","British Columbia","GreaterVancouver",5915,27260,2097965,0.0129935437435801
"14","British Columbia","Kitimat-Stikine",5949,85,37815,0.00224778527039535
"15","British Columbia","KootenayBoundary",5905,65,30300,0.00214521452145215
"16","British Columbia","MountWaddington",5943,0,11625,0
"17","British Columbia","Nanaimo",5921,555,137150,0.0040466642362377
"18","British Columbia","NorthernRockies",5959,15,6105,0.00245700245700246
"19","British Columbia","NorthOkanagan",5937,230,76195,0.00301857077236039
"20","British Columbia","Okanagan-Similkameen",5907,235,78480,0.00299439347604485
"21","British Columbia","PeaceRiver",5955,135,58035,0.00232618247609201
"22","British Columbia","PowellRiver",5927,60,19330,0.00310398344542162
"23","British Columbia","Skeena-QueenCharlotte",5947,65,19590,0.00331801939765186
"24","British Columbia","Squamish-Lillooet",5931,55,35135,0.00156539063611783
"25","British Columbia","Stikine",5957,15,1110,0.0135135135135135
"26","British Columbia","SunshineCoast",5929,190,27515,0.00690532436852626
"27","British Columbia","Thompson-Nicola",5933,235,121225,0.00193854402969684
