"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,555,30435,0.0182355840315426
"2","British Columbia","Bulkley-Nechako",5951,485,38125,0.0127213114754098
"3","British Columbia","Capital",5917,15540,340055,0.0456984899501551
"4","British Columbia","Cariboo",5941,1050,61790,0.0169930409451368
"5","British Columbia","CentralCoast",5945,10,3180,0.00314465408805031
"6","British Columbia","CentralKootenay",5903,300,55285,0.00542642669801935
"7","British Columbia","CentralOkanagan",5935,3315,160560,0.0206464872944694
"8","British Columbia","Columbia-Shuswap",5939,410,49505,0.00828199171800828
"9","British Columbia","CowichanValley",5919,1330,76475,0.0173913043478261
"10","British Columbia","EastKootenay",5901,300,54885,0.00546597430992074
"11","British Columbia","Fraser-FortGeorge",5953,1990,91630,0.021717778020299
"12","British Columbia","FraserValley",5909,21470,253845,0.0845791723295712
"13","British Columbia","GreaterVancouver",5915,543255,2097965,0.25894378600215
"14","British Columbia","Kitimat-Stikine",5949,810,37815,0.021420071400238
"15","British Columbia","KootenayBoundary",5905,315,30300,0.0103960396039604
"16","British Columbia","MountWaddington",5943,100,11625,0.00860215053763441
"17","British Columbia","Nanaimo",5921,3720,137150,0.0271235873131608
"18","British Columbia","NorthernRockies",5959,135,6105,0.0221130221130221
"19","British Columbia","NorthOkanagan",5937,1215,76195,0.0159459282105125
"20","British Columbia","Okanagan-Similkameen",5907,2540,78480,0.0323649337410805
"21","British Columbia","PeaceRiver",5955,555,58035,0.00956319462393383
"22","British Columbia","PowellRiver",5927,255,19330,0.0131919296430419
"23","British Columbia","Skeena-QueenCharlotte",5947,785,19590,0.0400714650331802
"24","British Columbia","Squamish-Lillooet",5931,1760,35135,0.0500925003557706
"25","British Columbia","Stikine",5957,10,1110,0.00900900900900901
"26","British Columbia","SunshineCoast",5929,410,27515,0.0149009631110303
"27","British Columbia","Thompson-Nicola",5933,2725,121225,0.0224788616209528
