"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,19850,30435,0.652209627074092
"2","British Columbia","Bulkley-Nechako",5951,26400,38125,0.692459016393443
"3","British Columbia","Capital",5917,160400,340055,0.471688403346517
"4","British Columbia","Cariboo",5941,41355,61790,0.6692830555106
"5","British Columbia","CentralCoast",5945,2685,3180,0.844339622641509
"6","British Columbia","CentralKootenay",5903,30575,55285,0.553043320973139
"7","British Columbia","CentralOkanagan",5935,72520,160560,0.451669157947185
"8","British Columbia","Columbia-Shuswap",5939,26180,49505,0.528835471164529
"9","British Columbia","CowichanValley",5919,44955,76475,0.587839163125204
"10","British Columbia","EastKootenay",5901,28180,54885,0.513437186845222
"11","British Columbia","Fraser-FortGeorge",5953,57350,91630,0.625886718323693
"12","British Columbia","FraserValley",5909,140140,253845,0.552069176072012
"13","British Columbia","GreaterVancouver",5915,858810,2097965,0.409353826207778
"14","British Columbia","Kitimat-Stikine",5949,26200,37815,0.692846753933624
"15","British Columbia","KootenayBoundary",5905,18755,30300,0.618976897689769
"16","British Columbia","MountWaddington",5943,7965,11625,0.685161290322581
"17","British Columbia","Nanaimo",5921,69345,137150,0.505614290922348
"18","British Columbia","NorthernRockies",5959,3390,6105,0.555282555282555
"19","British Columbia","NorthOkanagan",5937,42115,76195,0.552726556860686
"20","British Columbia","Okanagan-Similkameen",5907,37945,78480,0.483498980632008
"21","British Columbia","PeaceRiver",5955,33640,58035,0.579650211079521
"22","British Columbia","PowellRiver",5927,11220,19330,0.580444904293844
"23","British Columbia","Skeena-QueenCharlotte",5947,14210,19590,0.725370086778969
"24","British Columbia","Squamish-Lillooet",5931,18555,35135,0.528105877330297
"25","British Columbia","Stikine",5957,530,1110,0.477477477477477
"26","British Columbia","SunshineCoast",5929,15130,27515,0.549881882609486
"27","British Columbia","Thompson-Nicola",5933,74180,121225,0.611919983501753
