"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,7140,30435,0.234598324297684
"2","British Columbia","Bulkley-Nechako",5951,7600,38125,0.199344262295082
"3","British Columbia","Capital",5917,110445,340055,0.32478569643146
"4","British Columbia","Cariboo",5941,14055,61790,0.227463990937045
"5","British Columbia","CentralCoast",5945,325,3180,0.102201257861635
"6","British Columbia","CentralKootenay",5903,17980,55285,0.325223840101293
"7","British Columbia","CentralOkanagan",5935,63490,160560,0.395428500249128
"8","British Columbia","Columbia-Shuswap",5939,17720,49505,0.357943642056358
"9","British Columbia","CowichanValley",5919,20905,76475,0.273357306309251
"10","British Columbia","EastKootenay",5901,21275,54885,0.387628678145213
"11","British Columbia","Fraser-FortGeorge",5953,25210,91630,0.275128233111426
"12","British Columbia","FraserValley",5909,61250,253845,0.241288975555949
"13","British Columbia","GreaterVancouver",5915,368680,2097965,0.175732197629608
"14","British Columbia","Kitimat-Stikine",5949,7080,37815,0.187227290757636
"15","British Columbia","KootenayBoundary",5905,8075,30300,0.266501650165016
"16","British Columbia","MountWaddington",5943,2590,11625,0.222795698924731
"17","British Columbia","Nanaimo",5921,44035,137150,0.321071819176085
"18","British Columbia","NorthernRockies",5959,2370,6105,0.388206388206388
"19","British Columbia","NorthOkanagan",5937,25505,76195,0.334733250213269
"20","British Columbia","Okanagan-Similkameen",5907,27230,78480,0.346967380224261
"21","British Columbia","PeaceRiver",5955,20090,58035,0.3461704144051
"22","British Columbia","PowellRiver",5927,5080,19330,0.262803931712364
"23","British Columbia","Skeena-QueenCharlotte",5947,3265,19590,0.166666666666667
"24","British Columbia","Squamish-Lillooet",5931,10235,35135,0.291304966557564
"25","British Columbia","Stikine",5957,430,1110,0.387387387387387
"26","British Columbia","SunshineCoast",5929,7460,27515,0.27112484099582
"27","British Columbia","Thompson-Nicola",5933,33925,121225,0.279851515776449
