"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,60,30435,0.0019714144898965
"2","British Columbia","Bulkley-Nechako",5951,80,38125,0.00209836065573771
"3","British Columbia","Capital",5917,910,340055,0.00267603769978386
"4","British Columbia","Cariboo",5941,15,61790,0.000242757727787668
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,45,55285,0.000813964004702903
"7","British Columbia","CentralOkanagan",5935,405,160560,0.00252242152466368
"8","British Columbia","Columbia-Shuswap",5939,15,49505,0.000302999697000303
"9","British Columbia","CowichanValley",5919,60,76475,0.00078457012095456
"10","British Columbia","EastKootenay",5901,45,54885,0.000819896146488112
"11","British Columbia","Fraser-FortGeorge",5953,95,91630,0.00103677834770272
"12","British Columbia","FraserValley",5909,955,253845,0.00376213831274991
"13","British Columbia","GreaterVancouver",5915,12300,2097965,0.00586282421298735
"14","British Columbia","Kitimat-Stikine",5949,40,37815,0.00105778130371546
"15","British Columbia","KootenayBoundary",5905,15,30300,0.000495049504950495
"16","British Columbia","MountWaddington",5943,10,11625,0.000860215053763441
"17","British Columbia","Nanaimo",5921,165,137150,0.0012030623405031
"18","British Columbia","NorthernRockies",5959,0,6105,0
"19","British Columbia","NorthOkanagan",5937,110,76195,0.00144366428243323
"20","British Columbia","Okanagan-Similkameen",5907,145,78480,0.00184760448521916
"21","British Columbia","PeaceRiver",5955,35,58035,0.000603084345653485
"22","British Columbia","PowellRiver",5927,15,19330,0.000775995861355406
"23","British Columbia","Skeena-QueenCharlotte",5947,10,19590,0.000510464522715671
"24","British Columbia","Squamish-Lillooet",5931,40,35135,0.0011384659171766
"25","British Columbia","Stikine",5957,0,1110,0
"26","British Columbia","SunshineCoast",5929,40,27515,0.00145375249863711
"27","British Columbia","Thompson-Nicola",5933,210,121225,0.00173231594143122
