"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,20,30435,0.000657138163298834
"2","British Columbia","Bulkley-Nechako",5951,75,38125,0.0019672131147541
"3","British Columbia","Capital",5917,4365,340055,0.0128361588566555
"4","British Columbia","Cariboo",5941,80,61790,0.00129470788153423
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,80,55285,0.00144704711947183
"7","British Columbia","CentralOkanagan",5935,350,160560,0.00217987045341305
"8","British Columbia","Columbia-Shuswap",5939,0,49505,0
"9","British Columbia","CowichanValley",5919,135,76475,0.00176528277214776
"10","British Columbia","EastKootenay",5901,20,54885,0.00036439828732805
"11","British Columbia","Fraser-FortGeorge",5953,330,91630,0.00360144057623049
"12","British Columbia","FraserValley",5909,940,253845,0.00370304713506273
"13","British Columbia","GreaterVancouver",5915,137245,2097965,0.0654181552123129
"14","British Columbia","Kitimat-Stikine",5949,20,37815,0.000528890651857728
"15","British Columbia","KootenayBoundary",5905,40,30300,0.00132013201320132
"16","British Columbia","MountWaddington",5943,25,11625,0.0021505376344086
"17","British Columbia","Nanaimo",5921,385,137150,0.0028071454611739
"18","British Columbia","NorthernRockies",5959,0,6105,0
"19","British Columbia","NorthOkanagan",5937,265,76195,0.00347791849858915
"20","British Columbia","Okanagan-Similkameen",5907,140,78480,0.00178389398572885
"21","British Columbia","PeaceRiver",5955,105,58035,0.00180925303696045
"22","British Columbia","PowellRiver",5927,45,19330,0.00232798758406622
"23","British Columbia","Skeena-QueenCharlotte",5947,135,19590,0.00689127105666156
"24","British Columbia","Squamish-Lillooet",5931,65,35135,0.00185000711541198
"25","British Columbia","Stikine",5957,0,1110,0
"26","British Columbia","SunshineCoast",5929,10,27515,0.000363438124659277
"27","British Columbia","Thompson-Nicola",5933,335,121225,0.00276345638275933
