"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,2220,30435,0.0729423361261705
"2","British Columbia","Bulkley-Nechako",5951,2025,38125,0.0531147540983607
"3","British Columbia","Capital",5917,36480,340055,0.107276764052874
"4","British Columbia","Cariboo",5941,3540,61790,0.0572908237578896
"5","British Columbia","CentralCoast",5945,75,3180,0.0235849056603774
"6","British Columbia","CentralKootenay",5903,4135,55285,0.0747942479877001
"7","British Columbia","CentralOkanagan",5935,16375,160560,0.101986796213254
"8","British Columbia","Columbia-Shuswap",5939,3865,49505,0.0780729219270781
"9","British Columbia","CowichanValley",5919,7145,76475,0.0934292252370056
"10","British Columbia","EastKootenay",5901,3725,54885,0.0678691810148492
"11","British Columbia","Fraser-FortGeorge",5953,4760,91630,0.051948051948052
"12","British Columbia","FraserValley",5909,20685,253845,0.0814867340306092
"13","British Columbia","GreaterVancouver",5915,182150,2097965,0.0868222301134671
"14","British Columbia","Kitimat-Stikine",5949,2885,37815,0.0762924765304773
"15","British Columbia","KootenayBoundary",5905,2320,30300,0.0765676567656766
"16","British Columbia","MountWaddington",5943,610,11625,0.0524731182795699
"17","British Columbia","Nanaimo",5921,15440,137150,0.112577469923441
"18","British Columbia","NorthernRockies",5959,110,6105,0.018018018018018
"19","British Columbia","NorthOkanagan",5937,5520,76195,0.0724456985366494
"20","British Columbia","Okanagan-Similkameen",5907,8550,78480,0.10894495412844
"21","British Columbia","PeaceRiver",5955,2315,58035,0.0398897217196519
"22","British Columbia","PowellRiver",5927,2030,19330,0.105018106570098
"23","British Columbia","Skeena-QueenCharlotte",5947,955,19590,0.0487493619193466
"24","British Columbia","Squamish-Lillooet",5931,2575,35135,0.0732887434182439
"25","British Columbia","Stikine",5957,70,1110,0.0630630630630631
"26","British Columbia","SunshineCoast",5929,3240,27515,0.117753952389606
"27","British Columbia","Thompson-Nicola",5933,7280,121225,0.0600536193029491
