"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,10,30435,0.000328569081649417
"2","British Columbia","Bulkley-Nechako",5951,10,38125,0.000262295081967213
"3","British Columbia","Capital",5917,1210,340055,0.00355824793048183
"4","British Columbia","Cariboo",5941,30,61790,0.000485515455575336
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,30,55285,0.000542642669801935
"7","British Columbia","CentralOkanagan",5935,120,160560,0.000747384155455904
"8","British Columbia","Columbia-Shuswap",5939,10,49505,0.000201999798000202
"9","British Columbia","CowichanValley",5919,35,76475,0.00045766590389016
"10","British Columbia","EastKootenay",5901,10,54885,0.000182199143664025
"11","British Columbia","Fraser-FortGeorge",5953,60,91630,0.000654807377496453
"12","British Columbia","FraserValley",5909,250,253845,0.000984852961452855
"13","British Columbia","GreaterVancouver",5915,75780,2097965,0.0361207169805025
"14","British Columbia","Kitimat-Stikine",5949,45,37815,0.00119000396667989
"15","British Columbia","KootenayBoundary",5905,0,30300,0
"16","British Columbia","MountWaddington",5943,10,11625,0.000860215053763441
"17","British Columbia","Nanaimo",5921,165,137150,0.0012030623405031
"18","British Columbia","NorthernRockies",5959,0,6105,0
"19","British Columbia","NorthOkanagan",5937,65,76195,0.000853074348710545
"20","British Columbia","Okanagan-Similkameen",5907,40,78480,0.000509683995922528
"21","British Columbia","PeaceRiver",5955,15,58035,0.000258464719565779
"22","British Columbia","PowellRiver",5927,10,19330,0.000517330574236937
"23","British Columbia","Skeena-QueenCharlotte",5947,45,19590,0.00229709035222052
"24","British Columbia","Squamish-Lillooet",5931,60,35135,0.00170769887576491
"25","British Columbia","Stikine",5957,0,1110,0
"26","British Columbia","SunshineCoast",5929,0,27515,0
"27","British Columbia","Thompson-Nicola",5933,45,121225,0.000371210558878119
