"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,3285,30435,0.107934943321833
"2","British Columbia","Bulkley-Nechako",5951,3985,38125,0.104524590163934
"3","British Columbia","Capital",5917,65535,340055,0.192718824895973
"4","British Columbia","Cariboo",5941,6220,61790,0.100663537789286
"5","British Columbia","CentralCoast",5945,160,3180,0.050314465408805
"6","British Columbia","CentralKootenay",5903,6450,55285,0.116668174007416
"7","British Columbia","CentralOkanagan",5935,23720,160560,0.14773293472845
"8","British Columbia","Columbia-Shuswap",5939,5425,49505,0.10958489041511
"9","British Columbia","CowichanValley",5919,10210,76475,0.133507682249101
"10","British Columbia","EastKootenay",5901,5215,54885,0.0950168534207889
"11","British Columbia","Fraser-FortGeorge",5953,8650,91630,0.0944013969224053
"12","British Columbia","FraserValley",5909,50640,253845,0.19949181587189
"13","British Columbia","GreaterVancouver",5915,831265,2097965,0.396224436537311
"14","British Columbia","Kitimat-Stikine",5949,4510,37815,0.119264841993918
"15","British Columbia","KootenayBoundary",5905,3410,30300,0.112541254125413
"16","British Columbia","MountWaddington",5943,1025,11625,0.0881720430107527
"17","British Columbia","Nanaimo",5921,22915,137150,0.167079839591688
"18","British Columbia","NorthernRockies",5959,300,6105,0.0491400491400491
"19","British Columbia","NorthOkanagan",5937,8390,76195,0.110112212087407
"20","British Columbia","Okanagan-Similkameen",5907,13160,78480,0.167686034658512
"21","British Columbia","PeaceRiver",5955,4155,58035,0.0715947273197209
"22","British Columbia","PowellRiver",5927,2880,19330,0.148991205380238
"23","British Columbia","Skeena-QueenCharlotte",5947,2070,19590,0.105666156202144
"24","British Columbia","Squamish-Lillooet",5931,5640,35135,0.160523694321901
"25","British Columbia","Stikine",5957,145,1110,0.130630630630631
"26","British Columbia","SunshineCoast",5929,4790,27515,0.174086861711794
"27","British Columbia","Thompson-Nicola",5933,12495,121225,0.103072798515158
