"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,385,30435,0.0126499096435025
"2","British Columbia","Bulkley-Nechako",5951,195,38125,0.00511475409836066
"3","British Columbia","Capital",5917,2875,340055,0.0084545147108556
"4","British Columbia","Cariboo",5941,715,61790,0.0115714516912122
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,40,55285,0.000723523559735914
"7","British Columbia","CentralOkanagan",5935,1145,160560,0.00713129048330842
"8","British Columbia","Columbia-Shuswap",5939,170,49505,0.00343399656600343
"9","British Columbia","CowichanValley",5919,660,76475,0.00863027133050016
"10","British Columbia","EastKootenay",5901,75,54885,0.00136649357748019
"11","British Columbia","Fraser-FortGeorge",5953,935,91630,0.0102040816326531
"12","British Columbia","FraserValley",5909,15460,253845,0.0609033071362446
"13","British Columbia","GreaterVancouver",5915,90095,2097965,0.0429439957291947
"14","British Columbia","Kitimat-Stikine",5949,480,37815,0.0126933756445855
"15","British Columbia","KootenayBoundary",5905,95,30300,0.00313531353135314
"16","British Columbia","MountWaddington",5943,10,11625,0.000860215053763441
"17","British Columbia","Nanaimo",5921,1010,137150,0.00736419978126139
"18","British Columbia","NorthernRockies",5959,125,6105,0.0204750204750205
"19","British Columbia","NorthOkanagan",5937,495,76195,0.00649648927094954
"20","British Columbia","Okanagan-Similkameen",5907,1735,78480,0.0221075433231397
"21","British Columbia","PeaceRiver",5955,140,58035,0.00241233738261394
"22","British Columbia","PowellRiver",5927,10,19330,0.000517330574236937
"23","British Columbia","Skeena-QueenCharlotte",5947,270,19590,0.0137825421133231
"24","British Columbia","Squamish-Lillooet",5931,965,35135,0.0274654902518856
"25","British Columbia","Stikine",5957,0,1110,0
"26","British Columbia","SunshineCoast",5929,45,27515,0.00163547156096675
"27","British Columbia","Thompson-Nicola",5933,1015,121225,0.00837286038358424
