"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,26990,30435,0.886807951371776
"2","British Columbia","Bulkley-Nechako",5951,34000,38125,0.891803278688525
"3","British Columbia","Capital",5917,270845,340055,0.796474099777977
"4","British Columbia","Cariboo",5941,55415,61790,0.896827965690241
"5","British Columbia","CentralCoast",5945,3015,3180,0.94811320754717
"6","British Columbia","CentralKootenay",5903,48560,55285,0.878357601519399
"7","British Columbia","CentralOkanagan",5935,136005,160560,0.847066517189836
"8","British Columbia","Columbia-Shuswap",5939,43900,49505,0.886779113220887
"9","British Columbia","CowichanValley",5919,65860,76475,0.861196469434456
"10","British Columbia","EastKootenay",5901,49460,54885,0.901156964562267
"11","British Columbia","Fraser-FortGeorge",5953,82565,91630,0.901069518716578
"12","British Columbia","FraserValley",5909,201395,253845,0.793377848687191
"13","British Columbia","GreaterVancouver",5915,1227495,2097965,0.58508840709926
"14","British Columbia","Kitimat-Stikine",5949,33280,37815,0.88007404469126
"15","British Columbia","KootenayBoundary",5905,26835,30300,0.885643564356436
"16","British Columbia","MountWaddington",5943,10555,11625,0.907956989247312
"17","British Columbia","Nanaimo",5921,113380,137150,0.826686110098432
"18","British Columbia","NorthernRockies",5959,5760,6105,0.943488943488944
"19","British Columbia","NorthOkanagan",5937,67620,76195,0.887459807073955
"20","British Columbia","Okanagan-Similkameen",5907,65175,78480,0.830466360856269
"21","British Columbia","PeaceRiver",5955,53730,58035,0.925820625484621
"22","British Columbia","PowellRiver",5927,16295,19330,0.84299017071909
"23","British Columbia","Skeena-QueenCharlotte",5947,17475,19590,0.892036753445635
"24","British Columbia","Squamish-Lillooet",5931,28795,35135,0.819553152127508
"25","British Columbia","Stikine",5957,960,1110,0.864864864864865
"26","British Columbia","SunshineCoast",5929,22585,27515,0.820825004542977
"27","British Columbia","Thompson-Nicola",5933,108105,121225,0.891771499278202
