"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,75,30435,0.00246426811237063
"2","British Columbia","Bulkley-Nechako",5951,65,38125,0.00170491803278689
"3","British Columbia","Capital",5917,1675,340055,0.0049256737880637
"4","British Columbia","Cariboo",5941,90,61790,0.00145654636672601
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,150,55285,0.00271321334900968
"7","British Columbia","CentralOkanagan",5935,590,160560,0.00367463876432486
"8","British Columbia","Columbia-Shuswap",5939,125,49505,0.00252499747500252
"9","British Columbia","CowichanValley",5919,155,76475,0.00202680614579928
"10","British Columbia","EastKootenay",5901,180,54885,0.00327958458595245
"11","British Columbia","Fraser-FortGeorge",5953,175,91630,0.00190985485103132
"12","British Columbia","FraserValley",5909,735,253845,0.00289546770667139
"13","British Columbia","GreaterVancouver",5915,24090,2097965,0.0114825557147045
"14","British Columbia","Kitimat-Stikine",5949,95,37815,0.00251223059632421
"15","British Columbia","KootenayBoundary",5905,105,30300,0.00346534653465347
"16","British Columbia","MountWaddington",5943,40,11625,0.00344086021505376
"17","British Columbia","Nanaimo",5921,545,137150,0.0039737513671163
"18","British Columbia","NorthernRockies",5959,0,6105,0
"19","British Columbia","NorthOkanagan",5937,255,76195,0.00334667629109522
"20","British Columbia","Okanagan-Similkameen",5907,265,78480,0.00337665647298675
"21","British Columbia","PeaceRiver",5955,95,58035,0.0016369432239166
"22","British Columbia","PowellRiver",5927,110,19330,0.00569063631660631
"23","British Columbia","Skeena-QueenCharlotte",5947,30,19590,0.00153139356814701
"24","British Columbia","Squamish-Lillooet",5931,375,35135,0.0106731179735307
"25","British Columbia","Stikine",5957,35,1110,0.0315315315315315
"26","British Columbia","SunshineCoast",5929,185,27515,0.00672360530619662
"27","British Columbia","Thompson-Nicola",5933,235,121225,0.00193854402969684
