"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,40,30435,0.00131427632659767
"2","British Columbia","Bulkley-Nechako",5951,40,38125,0.00104918032786885
"3","British Columbia","Capital",5917,1205,340055,0.00354354442663687
"4","British Columbia","Cariboo",5941,45,61790,0.000728273183363004
"5","British Columbia","CentralCoast",5945,0,3180,0
"6","British Columbia","CentralKootenay",5903,60,55285,0.00108528533960387
"7","British Columbia","CentralOkanagan",5935,295,160560,0.00183731938216243
"8","British Columbia","Columbia-Shuswap",5939,70,49505,0.00141399858600141
"9","British Columbia","CowichanValley",5919,45,76475,0.00058842759071592
"10","British Columbia","EastKootenay",5901,25,54885,0.000455497859160062
"11","British Columbia","Fraser-FortGeorge",5953,110,91630,0.00120048019207683
"12","British Columbia","FraserValley",5909,1940,253845,0.00764245898087416
"13","British Columbia","GreaterVancouver",5915,11325,2097965,0.00539808814732372
"14","British Columbia","Kitimat-Stikine",5949,80,37815,0.00211556260743091
"15","British Columbia","KootenayBoundary",5905,15,30300,0.000495049504950495
"16","British Columbia","MountWaddington",5943,10,11625,0.000860215053763441
"17","British Columbia","Nanaimo",5921,355,137150,0.0025884068538097
"18","British Columbia","NorthernRockies",5959,0,6105,0
"19","British Columbia","NorthOkanagan",5937,100,76195,0.0013124220749393
"20","British Columbia","Okanagan-Similkameen",5907,90,78480,0.00114678899082569
"21","British Columbia","PeaceRiver",5955,35,58035,0.000603084345653485
"22","British Columbia","PowellRiver",5927,10,19330,0.000517330574236937
"23","British Columbia","Skeena-QueenCharlotte",5947,20,19590,0.00102092904543134
"24","British Columbia","Squamish-Lillooet",5931,225,35135,0.0064038707841184
"25","British Columbia","Stikine",5957,0,1110,0
"26","British Columbia","SunshineCoast",5929,55,27515,0.00199890968562602
"27","British Columbia","Thompson-Nicola",5933,145,121225,0.00119612291194061
