"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,695,30435,0.0228355511746345
"2","British Columbia","Bulkley-Nechako",5951,515,38125,0.0135081967213115
"3","British Columbia","Capital",5917,20960,340055,0.0616370881180985
"4","British Columbia","Cariboo",5941,1150,61790,0.0186114257970545
"5","British Columbia","CentralCoast",5945,40,3180,0.0125786163522013
"6","British Columbia","CentralKootenay",5903,1550,55285,0.0280365379397667
"7","British Columbia","CentralOkanagan",5935,5350,160560,0.0333208769307424
"8","British Columbia","Columbia-Shuswap",5939,1265,49505,0.0255529744470256
"9","British Columbia","CowichanValley",5919,4035,76475,0.0527623406341942
"10","British Columbia","EastKootenay",5901,1510,54885,0.0275120706932677
"11","British Columbia","Fraser-FortGeorge",5953,1585,91630,0.017297828222198
"12","British Columbia","FraserValley",5909,7105,253845,0.0279895211644901
"13","British Columbia","GreaterVancouver",5915,63935,2097965,0.0304747695981582
"14","British Columbia","Kitimat-Stikine",5949,630,37815,0.0166600555335184
"15","British Columbia","KootenayBoundary",5905,840,30300,0.0277227722772277
"16","British Columbia","MountWaddington",5943,265,11625,0.0227956989247312
"17","British Columbia","Nanaimo",5921,8990,137150,0.0655486693401385
"18","British Columbia","NorthernRockies",5959,50,6105,0.00819000819000819
"19","British Columbia","NorthOkanagan",5937,1890,76195,0.0248047772163528
"20","British Columbia","Okanagan-Similkameen",5907,3040,78480,0.0387359836901121
"21","British Columbia","PeaceRiver",5955,600,58035,0.0103385887826312
"22","British Columbia","PowellRiver",5927,860,19330,0.0444904293843766
"23","British Columbia","Skeena-QueenCharlotte",5947,335,19590,0.017100561510975
"24","British Columbia","Squamish-Lillooet",5931,1270,35135,0.0361462928703572
"25","British Columbia","Stikine",5957,10,1110,0.00900900900900901
"26","British Columbia","SunshineCoast",5929,1755,27515,0.0637833908777031
"27","British Columbia","Thompson-Nicola",5933,2700,121225,0.0222726335326872
