"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","British Columbia","Alberni-Clayoquot",5923,290,30435,0.00952850336783309
"2","British Columbia","Bulkley-Nechako",5951,1200,38125,0.0314754098360656
"3","British Columbia","Capital",5917,6690,340055,0.0196732881445649
"4","British Columbia","Cariboo",5941,1320,61790,0.0213626800453148
"5","British Columbia","CentralCoast",5945,75,3180,0.0235849056603774
"6","British Columbia","CentralKootenay",5903,1590,55285,0.0287600614995026
"7","British Columbia","CentralOkanagan",5935,1995,160560,0.0124252615844544
"8","British Columbia","Columbia-Shuswap",5939,785,49505,0.0158569841430159
"9","British Columbia","CowichanValley",5919,1190,76475,0.0155606407322654
"10","British Columbia","EastKootenay",5901,835,54885,0.0152136284959461
"11","British Columbia","Fraser-FortGeorge",5953,1225,91630,0.0133689839572193
"12","British Columbia","FraserValley",5909,3200,253845,0.0126061179065965
"13","British Columbia","GreaterVancouver",5915,24780,2097965,0.0118114458534818
"14","British Columbia","Kitimat-Stikine",5949,500,37815,0.0132222662964432
"15","British Columbia","KootenayBoundary",5905,550,30300,0.0181518151815182
"16","British Columbia","MountWaddington",5943,225,11625,0.0193548387096774
"17","British Columbia","Nanaimo",5921,1950,137150,0.014218009478673
"18","British Columbia","NorthernRockies",5959,35,6105,0.00573300573300573
"19","British Columbia","NorthOkanagan",5937,920,76195,0.0120742830894416
"20","British Columbia","Okanagan-Similkameen",5907,1255,78480,0.0159913353720693
"21","British Columbia","PeaceRiver",5955,945,58035,0.0162832773326441
"22","British Columbia","PowellRiver",5927,380,19330,0.0196585618210036
"23","British Columbia","Skeena-QueenCharlotte",5947,185,19590,0.00944359367023992
"24","British Columbia","Squamish-Lillooet",5931,560,35135,0.0159385228404725
"25","British Columbia","Stikine",5957,25,1110,0.0225225225225225
"26","British Columbia","SunshineCoast",5929,625,27515,0.0227148827912048
"27","British Columbia","Thompson-Nicola",5933,1585,121225,0.0130748607960404
