"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,140,73375,0.00190800681431005
"2","Manitoba","DivisionNo.10",4610,10,17325,0.000577200577200577
"3","Manitoba","DivisionNo.11",4611,1405,241000,0.0058298755186722
"4","Manitoba","DivisionNo.12",4612,10,22180,0.000450856627592426
"5","Manitoba","DivisionNo.13",4613,10,22090,0.000452693526482571
"6","Manitoba","DivisionNo.14",4614,0,35950,0
"7","Manitoba","DivisionNo.15",4615,140,77350,0.00180995475113122
"8","Manitoba","DivisionNo.16",4616,100,36520,0.00273822562979189
"9","Manitoba","DivisionNo.17",4617,10,40135,0.000249159088077738
"10","Manitoba","DivisionNo.18",4618,15,33900,0.000442477876106195
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,100,19890,0.00502765208647562
"13","Manitoba","DivisionNo.20",4620,25,10265,0.00243546030199708
"14","Manitoba","DivisionNo.21",4621,50,21435,0.00233263354327035
"15","Manitoba","DivisionNo.22",4622,65,38325,0.00169602087410307
"16","Manitoba","DivisionNo.23",4623,50,8235,0.00607164541590771
"17","Manitoba","DivisionNo.3",4603,20,12875,0.00155339805825243
"18","Manitoba","DivisionNo.4",4604,10,10945,0.000913659205116492
"19","Manitoba","DivisionNo.5",4605,35,29950,0.0011686143572621
"20","Manitoba","DivisionNo.6",4606,1310,217860,0.00601303589461122
"21","Manitoba","DivisionNo.7",4607,125,44240,0.0028254972875226
"22","Manitoba","DivisionNo.8",4608,45,28790,0.00156304272316777
"23","Manitoba","DivisionNo.9",4609,130,34105,0.0038117578067732
