"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,645,73375,0.00879045996592845
"2","Manitoba","DivisionNo.10",4610,40,17325,0.00230880230880231
"3","Manitoba","DivisionNo.11",4611,6400,241000,0.0265560165975104
"4","Manitoba","DivisionNo.12",4612,120,22180,0.00541027953110911
"5","Manitoba","DivisionNo.13",4613,70,22090,0.003168854685378
"6","Manitoba","DivisionNo.14",4614,90,35950,0.00250347705146036
"7","Manitoba","DivisionNo.15",4615,330,77350,0.00426632191338074
"8","Manitoba","DivisionNo.16",4616,135,36520,0.00369660460021906
"9","Manitoba","DivisionNo.17",4617,205,40135,0.00510776130559362
"10","Manitoba","DivisionNo.18",4618,70,33900,0.00206489675516224
"11","Manitoba","DivisionNo.19",4619,10,16305,0.000613308800981294
"12","Manitoba","DivisionNo.2",4602,80,19890,0.00402212166918049
"13","Manitoba","DivisionNo.20",4620,15,10265,0.00146127618119825
"14","Manitoba","DivisionNo.21",4621,165,21435,0.00769769069279216
"15","Manitoba","DivisionNo.22",4622,300,38325,0.00782778864970646
"16","Manitoba","DivisionNo.23",4623,35,8235,0.0042501517911354
"17","Manitoba","DivisionNo.3",4603,60,12875,0.00466019417475728
"18","Manitoba","DivisionNo.4",4604,50,10945,0.00456829602558246
"19","Manitoba","DivisionNo.5",4605,130,29950,0.00434056761268781
"20","Manitoba","DivisionNo.6",4606,5290,217860,0.0242816487652621
"21","Manitoba","DivisionNo.7",4607,325,44240,0.00734629294755877
"22","Manitoba","DivisionNo.8",4608,255,28790,0.00885724209795068
"23","Manitoba","DivisionNo.9",4609,180,34105,0.00527781850168597
