"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,41235,73375,0.561976149914821
"2","Manitoba","DivisionNo.10",4610,15355,17325,0.886291486291486
"3","Manitoba","DivisionNo.11",4611,184570,241000,0.765850622406639
"4","Manitoba","DivisionNo.12",4612,18710,22180,0.843552750225428
"5","Manitoba","DivisionNo.13",4613,17965,22090,0.813263920325939
"6","Manitoba","DivisionNo.14",4614,31380,35950,0.872878998609179
"7","Manitoba","DivisionNo.15",4615,66160,77350,0.855332902391726
"8","Manitoba","DivisionNo.16",4616,31725,36520,0.868702081051479
"9","Manitoba","DivisionNo.17",4617,32765,40135,0.816369752086707
"10","Manitoba","DivisionNo.18",4618,27560,33900,0.812979351032448
"11","Manitoba","DivisionNo.19",4619,15675,16305,0.961361545538178
"12","Manitoba","DivisionNo.2",4602,17370,19890,0.873303167420814
"13","Manitoba","DivisionNo.20",4620,7795,10265,0.759376522162689
"14","Manitoba","DivisionNo.21",4621,16780,21435,0.78283181712153
"15","Manitoba","DivisionNo.22",4622,33245,38325,0.867449445531637
"16","Manitoba","DivisionNo.23",4623,7410,8235,0.899817850637523
"17","Manitoba","DivisionNo.3",4603,11105,12875,0.86252427184466
"18","Manitoba","DivisionNo.4",4604,8260,10945,0.754682503426222
"19","Manitoba","DivisionNo.5",4605,24820,29950,0.828714524207012
"20","Manitoba","DivisionNo.6",4606,173540,217860,0.796566602405214
"21","Manitoba","DivisionNo.7",4607,34630,44240,0.782775768535262
"22","Manitoba","DivisionNo.8",4608,22995,28790,0.798714831538729
"23","Manitoba","DivisionNo.9",4609,28005,34105,0.821140595220642
