"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,25830,73375,0.352027257240204
"2","Manitoba","DivisionNo.10",4610,1490,17325,0.086002886002886
"3","Manitoba","DivisionNo.11",4611,35915,241000,0.14902489626556
"4","Manitoba","DivisionNo.12",4612,2620,22180,0.118124436429216
"5","Manitoba","DivisionNo.13",4613,3605,22090,0.163196016296967
"6","Manitoba","DivisionNo.14",4614,3665,35950,0.101947148817803
"7","Manitoba","DivisionNo.15",4615,8565,77350,0.110730446024564
"8","Manitoba","DivisionNo.16",4616,3655,36520,0.100082146768894
"9","Manitoba","DivisionNo.17",4617,6415,40135,0.159835555001869
"10","Manitoba","DivisionNo.18",4618,6065,33900,0.178908554572271
"11","Manitoba","DivisionNo.19",4619,470,16305,0.0288255136461208
"12","Manitoba","DivisionNo.2",4602,1790,19890,0.0899949723479135
"13","Manitoba","DivisionNo.20",4620,2065,10265,0.201169020944959
"14","Manitoba","DivisionNo.21",4621,3810,21435,0.177746675997201
"15","Manitoba","DivisionNo.22",4622,4195,38325,0.109458577951729
"16","Manitoba","DivisionNo.23",4623,585,8235,0.0710382513661202
"17","Manitoba","DivisionNo.3",4603,1350,12875,0.104854368932039
"18","Manitoba","DivisionNo.4",4604,2330,10945,0.212882594792143
"19","Manitoba","DivisionNo.5",4605,4210,29950,0.140567612687813
"20","Manitoba","DivisionNo.6",4606,27475,217860,0.126113100156064
"21","Manitoba","DivisionNo.7",4607,7500,44240,0.169529837251356
"22","Manitoba","DivisionNo.8",4608,4675,28790,0.162382771795762
"23","Manitoba","DivisionNo.9",4609,4875,34105,0.142940917753995
