"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,845,73375,0.0115161839863714
"2","Manitoba","DivisionNo.10",4610,0,17325,0
"3","Manitoba","DivisionNo.11",4611,520,241000,0.00215767634854772
"4","Manitoba","DivisionNo.12",4612,15,22180,0.000676284941388638
"5","Manitoba","DivisionNo.13",4613,10,22090,0.000452693526482571
"6","Manitoba","DivisionNo.14",4614,10,35950,0.000278164116828929
"7","Manitoba","DivisionNo.15",4615,60,77350,0.000775694893341952
"8","Manitoba","DivisionNo.16",4616,10,36520,0.000273822562979189
"9","Manitoba","DivisionNo.17",4617,10,40135,0.000249159088077738
"10","Manitoba","DivisionNo.18",4618,0,33900,0
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,15,19890,0.000754147812971342
"13","Manitoba","DivisionNo.20",4620,15,10265,0.00146127618119825
"14","Manitoba","DivisionNo.21",4621,0,21435,0
"15","Manitoba","DivisionNo.22",4622,15,38325,0.000391389432485323
"16","Manitoba","DivisionNo.23",4623,10,8235,0.00121432908318154
"17","Manitoba","DivisionNo.3",4603,0,12875,0
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,20,29950,0.000667779632721202
"20","Manitoba","DivisionNo.6",4606,340,217860,0.00156063527035711
"21","Manitoba","DivisionNo.7",4607,25,44240,0.000565099457504521
"22","Manitoba","DivisionNo.8",4608,25,28790,0.000868357068426537
"23","Manitoba","DivisionNo.9",4609,15,34105,0.000439818208473831
