"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,190,73375,0.00258943781942078
"2","Manitoba","DivisionNo.10",4610,0,17325,0
"3","Manitoba","DivisionNo.11",4611,1620,241000,0.00672199170124481
"4","Manitoba","DivisionNo.12",4612,0,22180,0
"5","Manitoba","DivisionNo.13",4613,50,22090,0.00226346763241286
"6","Manitoba","DivisionNo.14",4614,25,35950,0.000695410292072323
"7","Manitoba","DivisionNo.15",4615,60,77350,0.000775694893341952
"8","Manitoba","DivisionNo.16",4616,50,36520,0.00136911281489595
"9","Manitoba","DivisionNo.17",4617,25,40135,0.000622897720194344
"10","Manitoba","DivisionNo.18",4618,15,33900,0.000442477876106195
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,40,19890,0.00201106083459025
"13","Manitoba","DivisionNo.20",4620,0,10265,0
"14","Manitoba","DivisionNo.21",4621,10,21435,0.00046652670865407
"15","Manitoba","DivisionNo.22",4622,0,38325,0
"16","Manitoba","DivisionNo.23",4623,15,8235,0.00182149362477231
"17","Manitoba","DivisionNo.3",4603,0,12875,0
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,20,29950,0.000667779632721202
"20","Manitoba","DivisionNo.6",4606,1180,217860,0.00541632240888644
"21","Manitoba","DivisionNo.7",4607,140,44240,0.00316455696202532
"22","Manitoba","DivisionNo.8",4608,110,28790,0.00382077110107676
"23","Manitoba","DivisionNo.9",4609,70,34105,0.00205248497287788
