"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,3535,73375,0.0481771720613288
"2","Manitoba","DivisionNo.10",4610,260,17325,0.015007215007215
"3","Manitoba","DivisionNo.11",4611,7175,241000,0.0297717842323651
"4","Manitoba","DivisionNo.12",4612,485,22180,0.0218665464382326
"5","Manitoba","DivisionNo.13",4613,280,22090,0.012675418741512
"6","Manitoba","DivisionNo.14",4614,550,35950,0.0152990264255911
"7","Manitoba","DivisionNo.15",4615,1560,77350,0.0201680672268908
"8","Manitoba","DivisionNo.16",4616,670,36520,0.0183461117196057
"9","Manitoba","DivisionNo.17",4617,445,40135,0.0110875794194593
"10","Manitoba","DivisionNo.18",4618,100,33900,0.00294985250737463
"11","Manitoba","DivisionNo.19",4619,115,16305,0.00705305121128488
"12","Manitoba","DivisionNo.2",4602,295,19890,0.0148315736551031
"13","Manitoba","DivisionNo.20",4620,260,10265,0.0253287871407696
"14","Manitoba","DivisionNo.21",4621,515,21435,0.0240261254956846
"15","Manitoba","DivisionNo.22",4622,340,38325,0.00887149380300065
"16","Manitoba","DivisionNo.23",4623,75,8235,0.00910746812386157
"17","Manitoba","DivisionNo.3",4603,195,12875,0.0151456310679612
"18","Manitoba","DivisionNo.4",4604,140,10945,0.0127912288716309
"19","Manitoba","DivisionNo.5",4605,495,29950,0.0165275459098497
"20","Manitoba","DivisionNo.6",4606,6445,217860,0.0295832185807399
"21","Manitoba","DivisionNo.7",4607,1045,44240,0.023621157323689
"22","Manitoba","DivisionNo.8",4608,490,28790,0.0170197985411601
"23","Manitoba","DivisionNo.9",4609,695,34105,0.0203782436592875
