"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,50,73375,0.000681431005110733
"2","Manitoba","DivisionNo.10",4610,20,17325,0.00115440115440115
"3","Manitoba","DivisionNo.11",4611,365,241000,0.00151452282157676
"4","Manitoba","DivisionNo.12",4612,0,22180,0
"5","Manitoba","DivisionNo.13",4613,0,22090,0
"6","Manitoba","DivisionNo.14",4614,10,35950,0.000278164116828929
"7","Manitoba","DivisionNo.15",4615,80,77350,0.00103425985778927
"8","Manitoba","DivisionNo.16",4616,10,36520,0.000273822562979189
"9","Manitoba","DivisionNo.17",4617,0,40135,0
"10","Manitoba","DivisionNo.18",4618,0,33900,0
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,10,19890,0.000502765208647562
"13","Manitoba","DivisionNo.20",4620,0,10265,0
"14","Manitoba","DivisionNo.21",4621,0,21435,0
"15","Manitoba","DivisionNo.22",4622,10,38325,0.000260926288323549
"16","Manitoba","DivisionNo.23",4623,0,8235,0
"17","Manitoba","DivisionNo.3",4603,0,12875,0
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,40,29950,0.0013355592654424
"20","Manitoba","DivisionNo.6",4606,295,217860,0.00135408060222161
"21","Manitoba","DivisionNo.7",4607,10,44240,0.000226039783001808
"22","Manitoba","DivisionNo.8",4608,15,28790,0.000521014241055922
"23","Manitoba","DivisionNo.9",4609,25,34105,0.000733030347456385
