"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,5855,73375,0.0797955706984668
"2","Manitoba","DivisionNo.10",4610,450,17325,0.025974025974026
"3","Manitoba","DivisionNo.11",4611,18135,241000,0.0752489626556017
"4","Manitoba","DivisionNo.12",4612,810,22180,0.0365193868349865
"5","Manitoba","DivisionNo.13",4613,495,22090,0.0224083295608873
"6","Manitoba","DivisionNo.14",4614,870,35950,0.0242002781641168
"7","Manitoba","DivisionNo.15",4615,2505,77350,0.0323852617970265
"8","Manitoba","DivisionNo.16",4616,1125,36520,0.0308050383351588
"9","Manitoba","DivisionNo.17",4617,850,40135,0.0211785224866077
"10","Manitoba","DivisionNo.18",4618,250,33900,0.00737463126843658
"11","Manitoba","DivisionNo.19",4619,150,16305,0.00919963201471941
"12","Manitoba","DivisionNo.2",4602,685,19890,0.034439416792358
"13","Manitoba","DivisionNo.20",4620,375,10265,0.0365319045299562
"14","Manitoba","DivisionNo.21",4621,815,21435,0.0380219267553067
"15","Manitoba","DivisionNo.22",4622,820,38325,0.021395955642531
"16","Manitoba","DivisionNo.23",4623,200,8235,0.0242865816636308
"17","Manitoba","DivisionNo.3",4603,375,12875,0.029126213592233
"18","Manitoba","DivisionNo.4",4604,335,10945,0.0306075833714025
"19","Manitoba","DivisionNo.5",4605,850,29950,0.0283806343906511
"20","Manitoba","DivisionNo.6",4606,15520,217860,0.0712384099880657
"21","Manitoba","DivisionNo.7",4607,1935,44240,0.0437386980108499
"22","Manitoba","DivisionNo.8",4608,1050,28790,0.0364709968739146
"23","Manitoba","DivisionNo.9",4609,1175,34105,0.0344524263304501
