"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,50,73375,0.000681431005110733
"2","Manitoba","DivisionNo.10",4610,10,17325,0.000577200577200577
"3","Manitoba","DivisionNo.11",4611,720,241000,0.00298755186721992
"4","Manitoba","DivisionNo.12",4612,0,22180,0
"5","Manitoba","DivisionNo.13",4613,0,22090,0
"6","Manitoba","DivisionNo.14",4614,0,35950,0
"7","Manitoba","DivisionNo.15",4615,20,77350,0.000258564964447317
"8","Manitoba","DivisionNo.16",4616,20,36520,0.000547645125958379
"9","Manitoba","DivisionNo.17",4617,20,40135,0.000498318176155475
"10","Manitoba","DivisionNo.18",4618,20,33900,0.000589970501474926
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,0,19890,0
"13","Manitoba","DivisionNo.20",4620,0,10265,0
"14","Manitoba","DivisionNo.21",4621,40,21435,0.00186610683461628
"15","Manitoba","DivisionNo.22",4622,185,38325,0.00482713633398565
"16","Manitoba","DivisionNo.23",4623,0,8235,0
"17","Manitoba","DivisionNo.3",4603,0,12875,0
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,45,29950,0.0015025041736227
"20","Manitoba","DivisionNo.6",4606,745,217860,0.00341962728357661
"21","Manitoba","DivisionNo.7",4607,35,44240,0.000791139240506329
"22","Manitoba","DivisionNo.8",4608,50,28790,0.00173671413685307
"23","Manitoba","DivisionNo.9",4609,10,34105,0.000293212138982554
