"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,67065,73375,0.914003407155026
"2","Manitoba","DivisionNo.10",4610,16840,17325,0.972005772005772
"3","Manitoba","DivisionNo.11",4611,220485,241000,0.914875518672199
"4","Manitoba","DivisionNo.12",4612,21330,22180,0.961677186654644
"5","Manitoba","DivisionNo.13",4613,21565,22090,0.976233589859665
"6","Manitoba","DivisionNo.14",4614,35045,35950,0.974826147426982
"7","Manitoba","DivisionNo.15",4615,74725,77350,0.96606334841629
"8","Manitoba","DivisionNo.16",4616,35380,36520,0.968784227820372
"9","Manitoba","DivisionNo.17",4617,39185,40135,0.976329886632615
"10","Manitoba","DivisionNo.18",4618,33625,33900,0.99188790560472
"11","Manitoba","DivisionNo.19",4619,16150,16305,0.99049371358479
"12","Manitoba","DivisionNo.2",4602,19165,19890,0.963549522373052
"13","Manitoba","DivisionNo.20",4620,9860,10265,0.960545543107647
"14","Manitoba","DivisionNo.21",4621,20590,21435,0.960578493118731
"15","Manitoba","DivisionNo.22",4622,37440,38325,0.976908023483366
"16","Manitoba","DivisionNo.23",4623,7995,8235,0.970856102003643
"17","Manitoba","DivisionNo.3",4603,12455,12875,0.967378640776699
"18","Manitoba","DivisionNo.4",4604,10595,10945,0.968021927820923
"19","Manitoba","DivisionNo.5",4605,29030,29950,0.969282136894825
"20","Manitoba","DivisionNo.6",4606,201015,217860,0.922679702561278
"21","Manitoba","DivisionNo.7",4607,42135,44240,0.952418625678119
"22","Manitoba","DivisionNo.8",4608,27670,28790,0.961097603334491
"23","Manitoba","DivisionNo.9",4609,32880,34105,0.964081512974637
