"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,65,73375,0.000885860306643952
"2","Manitoba","DivisionNo.10",4610,0,17325,0
"3","Manitoba","DivisionNo.11",4611,145,241000,0.000601659751037344
"4","Manitoba","DivisionNo.12",4612,0,22180,0
"5","Manitoba","DivisionNo.13",4613,0,22090,0
"6","Manitoba","DivisionNo.14",4614,25,35950,0.000695410292072323
"7","Manitoba","DivisionNo.15",4615,25,77350,0.000323206205559147
"8","Manitoba","DivisionNo.16",4616,15,36520,0.000410733844468784
"9","Manitoba","DivisionNo.17",4617,40,40135,0.000996636352310951
"10","Manitoba","DivisionNo.18",4618,10,33900,0.000294985250737463
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,10,19890,0.000502765208647562
"13","Manitoba","DivisionNo.20",4620,0,10265,0
"14","Manitoba","DivisionNo.21",4621,0,21435,0
"15","Manitoba","DivisionNo.22",4622,0,38325,0
"16","Manitoba","DivisionNo.23",4623,0,8235,0
"17","Manitoba","DivisionNo.3",4603,10,12875,0.000776699029126214
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,10,29950,0.000333889816360601
"20","Manitoba","DivisionNo.6",4606,95,217860,0.000436059854952722
"21","Manitoba","DivisionNo.7",4607,25,44240,0.000565099457504521
"22","Manitoba","DivisionNo.8",4608,10,28790,0.000347342827370615
"23","Manitoba","DivisionNo.9",4609,10,34105,0.000293212138982554
