"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,160,73375,0.00218057921635434
"2","Manitoba","DivisionNo.10",4610,10,17325,0.000577200577200577
"3","Manitoba","DivisionNo.11",4611,500,241000,0.0020746887966805
"4","Manitoba","DivisionNo.12",4612,50,22180,0.00225428313796213
"5","Manitoba","DivisionNo.13",4613,35,22090,0.001584427342689
"6","Manitoba","DivisionNo.14",4614,10,35950,0.000278164116828929
"7","Manitoba","DivisionNo.15",4615,110,77350,0.00142210730446025
"8","Manitoba","DivisionNo.16",4616,15,36520,0.000410733844468784
"9","Manitoba","DivisionNo.17",4617,40,40135,0.000996636352310951
"10","Manitoba","DivisionNo.18",4618,25,33900,0.000737463126843658
"11","Manitoba","DivisionNo.19",4619,0,16305,0
"12","Manitoba","DivisionNo.2",4602,10,19890,0.000502765208647562
"13","Manitoba","DivisionNo.20",4620,0,10265,0
"14","Manitoba","DivisionNo.21",4621,15,21435,0.000699790062981106
"15","Manitoba","DivisionNo.22",4622,30,38325,0.000782778864970646
"16","Manitoba","DivisionNo.23",4623,25,8235,0.00303582270795386
"17","Manitoba","DivisionNo.3",4603,0,12875,0
"18","Manitoba","DivisionNo.4",4604,0,10945,0
"19","Manitoba","DivisionNo.5",4605,10,29950,0.000333889816360601
"20","Manitoba","DivisionNo.6",4606,545,217860,0.00250160653630772
"21","Manitoba","DivisionNo.7",4607,40,44240,0.000904159132007233
"22","Manitoba","DivisionNo.8",4608,0,28790,0
"23","Manitoba","DivisionNo.9",4609,15,34105,0.000439818208473831
