"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,1460,73375,0.0198977853492334
"2","Manitoba","DivisionNo.10",4610,105,17325,0.00606060606060606
"3","Manitoba","DivisionNo.11",4611,2590,241000,0.010746887966805
"4","Manitoba","DivisionNo.12",4612,185,22180,0.00834084761045987
"5","Manitoba","DivisionNo.13",4613,95,22090,0.00430058850158443
"6","Manitoba","DivisionNo.14",4614,180,35950,0.00500695410292072
"7","Manitoba","DivisionNo.15",4615,515,77350,0.00665804783451842
"8","Manitoba","DivisionNo.16",4616,230,36520,0.00629791894852136
"9","Manitoba","DivisionNo.17",4617,220,40135,0.00548149993771023
"10","Manitoba","DivisionNo.18",4618,45,33900,0.00132743362831858
"11","Manitoba","DivisionNo.19",4619,85,16305,0.005213124808341
"12","Manitoba","DivisionNo.2",4602,95,19890,0.00477626948215184
"13","Manitoba","DivisionNo.20",4620,60,10265,0.00584510472479299
"14","Manitoba","DivisionNo.21",4621,230,21435,0.0107301142990436
"15","Manitoba","DivisionNo.22",4622,100,38325,0.00260926288323549
"16","Manitoba","DivisionNo.23",4623,10,8235,0.00121432908318154
"17","Manitoba","DivisionNo.3",4603,65,12875,0.00504854368932039
"18","Manitoba","DivisionNo.4",4604,80,10945,0.00730927364093193
"19","Manitoba","DivisionNo.5",4605,250,29950,0.00834724540901502
"20","Manitoba","DivisionNo.6",4606,2090,217860,0.00959331680895988
"21","Manitoba","DivisionNo.7",4607,355,44240,0.00802441229656419
"22","Manitoba","DivisionNo.8",4608,250,28790,0.00868357068426537
"23","Manitoba","DivisionNo.9",4609,220,34105,0.00645066705761619
