"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Manitoba","DivisionNo.1",4601,425,73375,0.00579216354344123
"2","Manitoba","DivisionNo.10",4610,140,17325,0.00808080808080808
"3","Manitoba","DivisionNo.11",4611,1830,241000,0.00759336099585062
"4","Manitoba","DivisionNo.12",4612,135,22180,0.00608656447249775
"5","Manitoba","DivisionNo.13",4613,95,22090,0.00430058850158443
"6","Manitoba","DivisionNo.14",4614,170,35950,0.00472878998609179
"7","Manitoba","DivisionNo.15",4615,250,77350,0.00323206205559147
"8","Manitoba","DivisionNo.16",4616,150,36520,0.00410733844468784
"9","Manitoba","DivisionNo.17",4617,115,40135,0.00286532951289398
"10","Manitoba","DivisionNo.18",4618,40,33900,0.00117994100294985
"11","Manitoba","DivisionNo.19",4619,20,16305,0.00122661760196259
"12","Manitoba","DivisionNo.2",4602,170,19890,0.00854700854700855
"13","Manitoba","DivisionNo.20",4620,55,10265,0.00535801266439357
"14","Manitoba","DivisionNo.21",4621,55,21435,0.00256589689759739
"15","Manitoba","DivisionNo.22",4622,40,38325,0.00104370515329419
"16","Manitoba","DivisionNo.23",4623,0,8235,0
"17","Manitoba","DivisionNo.3",4603,95,12875,0.00737864077669903
"18","Manitoba","DivisionNo.4",4604,120,10945,0.0109639104613979
"19","Manitoba","DivisionNo.5",4605,160,29950,0.00534223706176962
"20","Manitoba","DivisionNo.6",4606,1095,217860,0.00502616359129716
"21","Manitoba","DivisionNo.7",4607,310,44240,0.00700723327305606
"22","Manitoba","DivisionNo.8",4608,200,28790,0.0069468565474123
"23","Manitoba","DivisionNo.9",4609,115,34105,0.00337193959829937
