"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,50,27265,0.00183385292499542
"2","New Brunswick","Carleton",1311,55,26355,0.00208689053310567
"3","New Brunswick","Charlotte",1302,95,26620,0.00356874530428249
"4","New Brunswick","Gloucester",1315,230,77680,0.00296086508753862
"5","New Brunswick","Kent",1308,15,31005,0.000483792936623125
"6","New Brunswick","Kings",1305,190,65480,0.00290164935858277
"7","New Brunswick","Madawaska",1313,65,33515,0.00193943010592272
"8","New Brunswick","Northumberland",1309,190,48185,0.00394313583065269
"9","New Brunswick","Queens",1304,40,11460,0.00349040139616056
"10","New Brunswick","Restigouche",1314,95,33045,0.00287486760478136
"11","New Brunswick","SaintJohn",1301,945,73255,0.0129001433349259
"12","New Brunswick","Sunbury",1303,60,25475,0.00235525024533857
"13","New Brunswick","Victoria",1312,15,20075,0.00074719800747198
"14","New Brunswick","Westmorland",1307,630,130085,0.00484298727754929
"15","New Brunswick","York",1310,1425,90140,0.0158087419569558
