"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,6505,27265,0.238584265541904
"2","New Brunswick","Carleton",1311,2785,26355,0.105672547903624
"3","New Brunswick","Charlotte",1302,3660,26620,0.137490608564989
"4","New Brunswick","Gloucester",1315,6730,77680,0.0866374871266735
"5","New Brunswick","Kent",1308,2280,31005,0.0735365263667151
"6","New Brunswick","Kings",1305,10680,65480,0.163103237629811
"7","New Brunswick","Madawaska",1313,3000,33515,0.0895121587348948
"8","New Brunswick","Northumberland",1309,4160,48185,0.0863339213448168
"9","New Brunswick","Queens",1304,1560,11460,0.136125654450262
"10","New Brunswick","Restigouche",1314,3560,33045,0.107731880768649
"11","New Brunswick","SaintJohn",1301,9205,73255,0.125656951743908
"12","New Brunswick","Sunbury",1303,9315,25475,0.365652600588813
"13","New Brunswick","Victoria",1312,1695,20075,0.0844333748443337
"14","New Brunswick","Westmorland",1307,24645,130085,0.189453049928893
"15","New Brunswick","York",1310,17390,90140,0.192922121144886
