"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,0,27265,0
"2","New Brunswick","Carleton",1311,0,26355,0
"3","New Brunswick","Charlotte",1302,0,26620,0
"4","New Brunswick","Gloucester",1315,0,77680,0
"5","New Brunswick","Kent",1308,10,31005,0.000322528624415417
"6","New Brunswick","Kings",1305,15,65480,0.000229077580940745
"7","New Brunswick","Madawaska",1313,40,33515,0.0011934954497986
"8","New Brunswick","Northumberland",1309,0,48185,0
"9","New Brunswick","Queens",1304,0,11460,0
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,50,73255,0.000682547266398198
"12","New Brunswick","Sunbury",1303,0,25475,0
"13","New Brunswick","Victoria",1312,25,20075,0.0012453300124533
"14","New Brunswick","Westmorland",1307,60,130085,0.000461236883576123
"15","New Brunswick","York",1310,170,90140,0.00188595518082982
