"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,0,27265,0
"2","New Brunswick","Carleton",1311,0,26355,0
"3","New Brunswick","Charlotte",1302,10,26620,0.000375657400450789
"4","New Brunswick","Gloucester",1315,25,77680,0.00032183316168898
"5","New Brunswick","Kent",1308,0,31005,0
"6","New Brunswick","Kings",1305,30,65480,0.000458155161881491
"7","New Brunswick","Madawaska",1313,30,33515,0.000895121587348948
"8","New Brunswick","Northumberland",1309,15,48185,0.000311300197156792
"9","New Brunswick","Queens",1304,0,11460,0
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,210,73255,0.00286669851887243
"12","New Brunswick","Sunbury",1303,0,25475,0
"13","New Brunswick","Victoria",1312,0,20075,0
"14","New Brunswick","Westmorland",1307,155,130085,0.00119152861590499
"15","New Brunswick","York",1310,430,90140,0.00477035722209896
