"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,625,27265,0.0229231615624427
"2","New Brunswick","Carleton",1311,360,26355,0.0136596471257826
"3","New Brunswick","Charlotte",1302,460,26620,0.0172802404207363
"4","New Brunswick","Gloucester",1315,300,77680,0.00386199794026777
"5","New Brunswick","Kent",1308,210,31005,0.00677310111272375
"6","New Brunswick","Kings",1305,1510,65480,0.0230604764813684
"7","New Brunswick","Madawaska",1313,65,33515,0.00193943010592272
"8","New Brunswick","Northumberland",1309,490,48185,0.0101691397737885
"9","New Brunswick","Queens",1304,315,11460,0.0274869109947644
"10","New Brunswick","Restigouche",1314,185,33045,0.00559842638825844
"11","New Brunswick","SaintJohn",1301,1340,73255,0.0182922667394717
"12","New Brunswick","Sunbury",1303,730,25475,0.0286555446516192
"13","New Brunswick","Victoria",1312,145,20075,0.00722291407222914
"14","New Brunswick","Westmorland",1307,1650,130085,0.0126840142983434
"15","New Brunswick","York",1310,2455,90140,0.0272354115819836
