"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,0,27265,0
"2","New Brunswick","Carleton",1311,0,26355,0
"3","New Brunswick","Charlotte",1302,0,26620,0
"4","New Brunswick","Gloucester",1315,0,77680,0
"5","New Brunswick","Kent",1308,0,31005,0
"6","New Brunswick","Kings",1305,0,65480,0
"7","New Brunswick","Madawaska",1313,0,33515,0
"8","New Brunswick","Northumberland",1309,0,48185,0
"9","New Brunswick","Queens",1304,10,11460,0.00087260034904014
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,20,73255,0.000273018906559279
"12","New Brunswick","Sunbury",1303,0,25475,0
"13","New Brunswick","Victoria",1312,0,20075,0
"14","New Brunswick","Westmorland",1307,10,130085,7.68728139293539e-05
"15","New Brunswick","York",1310,15,90140,0.000166407810073219
