"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,975,27265,0.0357601320374106
"2","New Brunswick","Carleton",1311,970,26355,0.0368051603111364
"3","New Brunswick","Charlotte",1302,1860,26620,0.0698722764838467
"4","New Brunswick","Gloucester",1315,840,77680,0.0108135942327497
"5","New Brunswick","Kent",1308,1035,31005,0.0333817126269956
"6","New Brunswick","Kings",1305,2455,65480,0.0374923640806353
"7","New Brunswick","Madawaska",1313,1225,33515,0.0365507981500821
"8","New Brunswick","Northumberland",1309,975,48185,0.0202345128151914
"9","New Brunswick","Queens",1304,540,11460,0.0471204188481675
"10","New Brunswick","Restigouche",1314,425,33045,0.012861249810864
"11","New Brunswick","SaintJohn",1301,3035,73255,0.0414306190703706
"12","New Brunswick","Sunbury",1303,1010,25475,0.0396467124631992
"13","New Brunswick","Victoria",1312,675,20075,0.0336239103362391
"14","New Brunswick","Westmorland",1307,4480,130085,0.0344390206403505
"15","New Brunswick","York",1310,5910,90140,0.0655646771688485
