"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,15,27265,0.000550155877498625
"2","New Brunswick","Carleton",1311,35,26355,0.00132802124833997
"3","New Brunswick","Charlotte",1302,10,26620,0.000375657400450789
"4","New Brunswick","Gloucester",1315,60,77680,0.000772399588053553
"5","New Brunswick","Kent",1308,0,31005,0
"6","New Brunswick","Kings",1305,10,65480,0.00015271838729383
"7","New Brunswick","Madawaska",1313,0,33515,0
"8","New Brunswick","Northumberland",1309,20,48185,0.000415066929542389
"9","New Brunswick","Queens",1304,0,11460,0
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,120,73255,0.00163811343935568
"12","New Brunswick","Sunbury",1303,0,25475,0
"13","New Brunswick","Victoria",1312,0,20075,0
"14","New Brunswick","Westmorland",1307,130,130085,0.000999346581081601
"15","New Brunswick","York",1310,185,90140,0.00205236299090304
