"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,26260,27265,0.963139556207592
"2","New Brunswick","Carleton",1311,25300,26355,0.959969645228609
"3","New Brunswick","Charlotte",1302,24615,26620,0.924680691209617
"4","New Brunswick","Gloucester",1315,76835,77680,0.989122039134912
"5","New Brunswick","Kent",1308,29905,31005,0.964521851314304
"6","New Brunswick","Kings",1305,62830,65480,0.959529627367135
"7","New Brunswick","Madawaska",1313,32115,33515,0.958227659257049
"8","New Brunswick","Northumberland",1309,47205,48185,0.979661720452423
"9","New Brunswick","Queens",1304,10920,11460,0.952879581151832
"10","New Brunswick","Restigouche",1314,32600,33045,0.986533514903919
"11","New Brunswick","SaintJohn",1301,69485,73255,0.948535936113576
"12","New Brunswick","Sunbury",1303,24430,25475,0.958979391560353
"13","New Brunswick","Victoria",1312,19350,20075,0.963885429638854
"14","New Brunswick","Westmorland",1307,125175,130085,0.962255448360687
"15","New Brunswick","York",1310,83660,90140,0.928111826048369
