"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,15,27265,0.000550155877498625
"2","New Brunswick","Carleton",1311,0,26355,0
"3","New Brunswick","Charlotte",1302,15,26620,0.000563486100676183
"4","New Brunswick","Gloucester",1315,10,77680,0.000128733264675592
"5","New Brunswick","Kent",1308,40,31005,0.00129011449766167
"6","New Brunswick","Kings",1305,25,65480,0.000381795968234575
"7","New Brunswick","Madawaska",1313,15,33515,0.000447560793674474
"8","New Brunswick","Northumberland",1309,0,48185,0
"9","New Brunswick","Queens",1304,0,11460,0
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,15,73255,0.000204764179919459
"12","New Brunswick","Sunbury",1303,15,25475,0.000588812561334642
"13","New Brunswick","Victoria",1312,0,20075,0
"14","New Brunswick","Westmorland",1307,60,130085,0.000461236883576123
"15","New Brunswick","York",1310,50,90140,0.000554692700244065
