"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,10,27265,0.000366770584999083
"2","New Brunswick","Carleton",1311,10,26355,0.00037943464238285
"3","New Brunswick","Charlotte",1302,25,26620,0.000939143501126972
"4","New Brunswick","Gloucester",1315,10,77680,0.000128733264675592
"5","New Brunswick","Kent",1308,10,31005,0.000322528624415417
"6","New Brunswick","Kings",1305,45,65480,0.000687232742822236
"7","New Brunswick","Madawaska",1313,20,33515,0.000596747724899299
"8","New Brunswick","Northumberland",1309,0,48185,0
"9","New Brunswick","Queens",1304,0,11460,0
"10","New Brunswick","Restigouche",1314,0,33045,0
"11","New Brunswick","SaintJohn",1301,105,73255,0.00143334925943622
"12","New Brunswick","Sunbury",1303,15,25475,0.000588812561334642
"13","New Brunswick","Victoria",1312,0,20075,0
"14","New Brunswick","Westmorland",1307,105,130085,0.000807164546258216
"15","New Brunswick","York",1310,115,90140,0.00127579321056135
