"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,325,27265,0.0119200440124702
"2","New Brunswick","Carleton",1311,185,26355,0.00701954088408272
"3","New Brunswick","Charlotte",1302,295,26620,0.0110818933132983
"4","New Brunswick","Gloucester",1315,140,77680,0.00180226570545829
"5","New Brunswick","Kent",1308,75,31005,0.00241896468311563
"6","New Brunswick","Kings",1305,800,65480,0.0122174709835064
"7","New Brunswick","Madawaska",1313,0,33515,0
"8","New Brunswick","Northumberland",1309,250,48185,0.00518833661927986
"9","New Brunswick","Queens",1304,135,11460,0.0117801047120419
"10","New Brunswick","Restigouche",1314,95,33045,0.00287486760478136
"11","New Brunswick","SaintJohn",1301,805,73255,0.010989010989011
"12","New Brunswick","Sunbury",1303,255,25475,0.0100098135426889
"13","New Brunswick","Victoria",1312,50,20075,0.0024906600249066
"14","New Brunswick","Westmorland",1307,665,130085,0.00511204212630203
"15","New Brunswick","York",1310,1135,90140,0.0125915242955403
