"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","New Brunswick","Albert",1306,235,27265,0.00861910874747845
"2","New Brunswick","Carleton",1311,495,26355,0.0187820147979511
"3","New Brunswick","Charlotte",1302,1250,26620,0.0469571750563486
"4","New Brunswick","Gloucester",1315,230,77680,0.00296086508753862
"5","New Brunswick","Kent",1308,740,31005,0.0238671182067408
"6","New Brunswick","Kings",1305,580,65480,0.00885766646304215
"7","New Brunswick","Madawaska",1313,950,33515,0.0283455169327167
"8","New Brunswick","Northumberland",1309,250,48185,0.00518833661927986
"9","New Brunswick","Queens",1304,155,11460,0.0135253054101222
"10","New Brunswick","Restigouche",1314,125,33045,0.00378272053260705
"11","New Brunswick","SaintJohn",1301,415,73255,0.00566514231110504
"12","New Brunswick","Sunbury",1303,150,25475,0.00588812561334642
"13","New Brunswick","Victoria",1312,480,20075,0.0239103362391034
"14","New Brunswick","Westmorland",1307,1435,130085,0.0110312487988623
"15","New Brunswick","York",1310,1180,90140,0.0130907477257599
