"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,465,245970,0.00189047444810343
"2","Newfoundland and Labrador","DivisionNo.10",1010,30,23820,0.00125944584382872
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,0,22190,0
"5","Newfoundland and Labrador","DivisionNo.3",1003,10,17550,0.00056980056980057
"6","Newfoundland and Labrador","DivisionNo.4",1004,0,21030,0
"7","Newfoundland and Labrador","DivisionNo.5",1005,20,40380,0.000495294700346706
"8","Newfoundland and Labrador","DivisionNo.6",1006,35,35650,0.000981767180925666
"9","Newfoundland and Labrador","DivisionNo.7",1007,0,35140,0
"10","Newfoundland and Labrador","DivisionNo.8",1008,0,38505,0
"11","Newfoundland and Labrador","DivisionNo.9",1009,0,17945,0
