"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,1330,245970,0.00540716347522056
"2","Newfoundland and Labrador","DivisionNo.10",1010,50,23820,0.00209907640638119
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,45,22190,0.00202794051374493
"5","Newfoundland and Labrador","DivisionNo.3",1003,10,17550,0.00056980056980057
"6","Newfoundland and Labrador","DivisionNo.4",1004,20,21030,0.000951022349025202
"7","Newfoundland and Labrador","DivisionNo.5",1005,90,40380,0.00222882615156018
"8","Newfoundland and Labrador","DivisionNo.6",1006,90,35650,0.00252454417952314
"9","Newfoundland and Labrador","DivisionNo.7",1007,55,35140,0.00156516789982925
"10","Newfoundland and Labrador","DivisionNo.8",1008,55,38505,0.00142838592390599
"11","Newfoundland and Labrador","DivisionNo.9",1009,45,17945,0.00250766230147673
