"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,222925,245970,0.906309712566573
"2","Newfoundland and Labrador","DivisionNo.10",1010,21310,23820,0.894626364399664
"3","Newfoundland and Labrador","DivisionNo.11",1011,2345,2410,0.973029045643154
"4","Newfoundland and Labrador","DivisionNo.2",1002,21285,22190,0.959215863001352
"5","Newfoundland and Labrador","DivisionNo.3",1003,16725,17550,0.952991452991453
"6","Newfoundland and Labrador","DivisionNo.4",1004,19190,21030,0.912505943889681
"7","Newfoundland and Labrador","DivisionNo.5",1005,36900,40380,0.913818722139673
"8","Newfoundland and Labrador","DivisionNo.6",1006,32565,35650,0.913464235624123
"9","Newfoundland and Labrador","DivisionNo.7",1007,33010,35140,0.93938531587934
"10","Newfoundland and Labrador","DivisionNo.8",1008,36730,38505,0.95390209063758
"11","Newfoundland and Labrador","DivisionNo.9",1009,17270,17945,0.962385065477849
