"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,16090,245970,0.0654144814408261
"2","Newfoundland and Labrador","DivisionNo.10",1010,2080,23820,0.0873215785054576
"3","Newfoundland and Labrador","DivisionNo.11",1011,55,2410,0.0228215767634855
"4","Newfoundland and Labrador","DivisionNo.2",1002,740,22190,0.0333483551149166
"5","Newfoundland and Labrador","DivisionNo.3",1003,730,17550,0.0415954415954416
"6","Newfoundland and Labrador","DivisionNo.4",1004,1655,21030,0.0786970993818355
"7","Newfoundland and Labrador","DivisionNo.5",1005,2805,40380,0.0694650817236256
"8","Newfoundland and Labrador","DivisionNo.6",1006,2550,35650,0.0715287517531557
"9","Newfoundland and Labrador","DivisionNo.7",1007,1835,35140,0.0522196926579397
"10","Newfoundland and Labrador","DivisionNo.8",1008,1540,38505,0.0399948058693676
"11","Newfoundland and Labrador","DivisionNo.9",1009,535,17945,0.0298133184731123
