"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,2620,245970,0.0106517054925397
"2","Newfoundland and Labrador","DivisionNo.10",1010,225,23820,0.00944584382871537
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,75,22190,0.00337990085624155
"5","Newfoundland and Labrador","DivisionNo.3",1003,75,17550,0.00427350427350427
"6","Newfoundland and Labrador","DivisionNo.4",1004,85,21030,0.00404184498335711
"7","Newfoundland and Labrador","DivisionNo.5",1005,415,40380,0.0102773650321942
"8","Newfoundland and Labrador","DivisionNo.6",1006,230,35650,0.00645161290322581
"9","Newfoundland and Labrador","DivisionNo.7",1007,150,35140,0.00426863972680706
"10","Newfoundland and Labrador","DivisionNo.8",1008,85,38505,0.0022075055187638
"11","Newfoundland and Labrador","DivisionNo.9",1009,75,17945,0.00417943716912789
