"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,5865,245970,0.0238443712647884
"2","Newfoundland and Labrador","DivisionNo.10",1010,400,23820,0.0167926112510495
"3","Newfoundland and Labrador","DivisionNo.11",1011,15,2410,0.00622406639004149
"4","Newfoundland and Labrador","DivisionNo.2",1002,140,22190,0.00630914826498423
"5","Newfoundland and Labrador","DivisionNo.3",1003,90,17550,0.00512820512820513
"6","Newfoundland and Labrador","DivisionNo.4",1004,185,21030,0.00879695672848312
"7","Newfoundland and Labrador","DivisionNo.5",1005,640,40380,0.0158494304110946
"8","Newfoundland and Labrador","DivisionNo.6",1006,465,35650,0.0130434782608696
"9","Newfoundland and Labrador","DivisionNo.7",1007,255,35140,0.007256687535572
"10","Newfoundland and Labrador","DivisionNo.8",1008,185,38505,0.0048045708349565
"11","Newfoundland and Labrador","DivisionNo.9",1009,140,17945,0.00780161604903873
